S	Rodzaj	Symbol	Nazwa	Stan	Dostępne	J.m.	hurtowa netto	hurtowa brutto	Opis	CN
 	towar	ŻNP	ŻELAZKO NA PARĘ STEAM POWER	0	0	szt.	0	0		
 	towar	ŻELAZKO	ŻELAZKO	0	0	szt.	0	0		
 	towar	ŻP/4	Żel Pomarańczowy 4L	0	0	szt.	50	61,5		
 	towar	ŻP/05	Żel Pomarańczowy 0,5L	0	0	szt.	7,5	9,23		
 	towar	ŻL/4,5	ŻEL LEO 4,5L	0	0	szt.	0	0	pomarańczowy, do mycia rąk	
 	towar	ŻL/15	ŻEL LEO 15 L	0	0	szt.	0	0		
 	towar	7	ŻEL LEO  0,5L	0	0	szt.	0	0	pomarańczowy, do mycia rąk	
 	towar	ŻDW/750	ŻEL DO WC 750ML	0	0	szt.	0	0	morski	
 	towar	ŻDC/750	ŻEL DO WC 750ML	0	0	szt.	0	0	cytrynowy	
 	towar	RO-ŻWC/5	Żel do WC 5 KG	0	0	szt.	29,65	36,47		
 	towar	RO-WC/05	Żel do WC 0,5L	0	0	szt.	1,8	2,21		
 	towar	210.100	ŻEL DO PLASTIKÓW ZEWNĘTRZNYCH 250ML	0	0	szt.	17,5	21,53	wycofany	3405 30 00
 	towar	210.141	ŻEL DO PLASTIKÓW ZEWNĘTRZNYCH 250ML	0	0	szt.	28,98	35,65	NanoPro	3405 30 00
 	towar	235.100	ŻEL DO NABŁYSZCZANIA OPON 250 ML	0	0	szt.	19,95	24,54	wycofany, Xtreme 	
 	towar	ŻMS/400	ŻEL DO MYCIA SKÓRY 400 G	0	0	szt.	0	0		
 	towar	429.200	ŻEL DO FELG 500ML	0	0	szt.	18,98	23,35		3402 20 90
 	towar	ECO2044	Żel do czyszczenia rąk 4,5L	0	0	szt.	0	0		
 	towar	ŻC/4	Żel Cytrynowy 4L	0	0	szt.	58	71,34		
 	towar	ŻC/05	Żel Cytrynowy 0,5L	0	0	szt.	8,5	10,46		
 	towar	B30518	Żarówki SUPER WHITE H7 12V 55W,x2szt. 	0	0	szt.	20,91	25,72	Bottari	
 	towar	B30516	Żarówki SUPER WHITE H5 12V 60/55W ,x2szt. 	0	0	szt.	20,91	25,72	Bottari	
 	towar	1	ŻARÓWKI RING 12V H7 55W 	0	0	szt.	6,6	8,12	K2, PX26D	
 	towar	PY21W	ŻARÓWKI PY 21 W POMARAŃCZOWE 2 SZT.	0	0	szt.	0	0	12V , 21W	
 	towar	333941	ŻARÓWKI P21/5 W	0	0	szt.	0	0	Auchan	
 	towar	P21W	ŻARÓWKI P 21 W BIAŁE 2 SZT.	0	0	szt.	0	0		
 	towar	B30159	Żarówki micro 12V 3W T10x 2 szt.	0	0	szt.	1,61	1,98	Bottari	
 	towar	B30146	Żarówki jednowłóknowe BA 15S 24/21W, 2 szt.	0	0	kpl.	1,2	1,48	Bottari	
 	towar	B30153	Żarówki jednowłóknowe BA 15S 12V-5W, 2 szt.	0	0	szt.	1,62	1,99	Bottari	
 	towar	B33801	Żarówki halogenowe H7 PREMIUM SUPER WHITE 12V55W	0	0	szt.	16,4	20,17	Bottari,komp. -2szt. 	
 	towar	CM/VISION	Żarówki CM VISION 12 V H7 55W - PX26D	0	0	szt.	3,45	4,24		
 	towar	2	ŻARÓWKI BOSMA 12V  H4 60/55W 	0	0	szt.	0	0	 P43T, GALON OLEJE: SYMBOL1314	
 	towar	B30176	Żarówki 24V 21W BA 15S jednowłóknowe, pomarańczowe	0	0	kpl.	1	1,23	Bottari	
 	towar	B30145	Żarówki 1-włóknowe BA 15S 12V 21W-BA 15S,x2 szt.	0	0	kpl.	1,89	2,32	Bottari	
 	towar	B/01	ŻARÓWKI 12V H1 55W P14, 5S	0	0	szt.	0	0	BOSMA	
 	towar	STM/CS	Żarówki 12V 5W CS 	0	0	szt.	0,42	0,52	K2; BOSMA	
 	towar	STM/R5W	Żarówki 12V 5W BA15S R5W	0	0	szt.	0,55	0,68	K2; BOSMA	
 	towar	STM/12V	Żarówki 12V 21/5W BAY15D P21 5W	0	0	szt.	0	0	BOSMA dwuwłukninowa, żarówki stopu,kierunkowskazy,  pak. po 10 szt.	
 	towar	STM/CM	Żarówki  STM/CM -12V H4 60/55W - P43	0	0	szt.	3,45	4,24	BOSMA	
 	towar	ŻARÓWKA	ŻARÓWKA SAMO. W5W 2 SZT.	0	0	szt.	0	0		
 	towar	R581	Żarówka RING 12V 21W BAU 15s -amber	0	0	szt.	1,27	1,56		
 	towar	R382	Żarówka RING 12V 21W  BA15s białe	0	0	szt.	0,57	0,7		
 	towar	ŻARÓWKA OKRĄGŁA	ŻARÓWKA OKRĄGŁA PY 21W	0	0	szt.	0	0		
 	towar	B30127	Żarówka halogenowa H7.12V,55W,x1szt.	0	0	szt.	5,81	7,15	Bottari	
 	towar	B30135	Żarówka halogenowa H4, 12V 60/55W-P43T,1szt. 	0	0	szt.	5,66	6,96	Bottari	
 	towar	B33800	Żarówka halogenowa H4 PREMIUM SUPER WHITE 12V60/55	0	0	szt.	16,4	20,17	Bottari, komp. -2szt.	
 	towar	B30582	Żarówka halogenowa H4 60/55W 12V P43 T,x1szt. 	0	0	szt.	8,07	9,93	Bottari	
 	towar	B30580	ŻARÓWKA HALOGENOWA H1 SUPER WHITE	0	0	szt.	0	0	Auchan	
 	towar	B30584	Żarówka halogenowa  H7 12V/55W	0	0	szt.	8,07	9,93	Bottari	
 	towar	B33823	Żarówka H7 G.PRIX 12V 55W SUPER WHITE,x1szt.	0	0	szt.	6,86	8,44	Bottari	
 	towar	B33818	Żarówka H7 G.PRIX 12V 55W SUPER WHITE,2szt	0	0	szt.	13	15,99	Bottari	
 	towar	B33816	Żarówka H7 G. PRIX 12V 60/55W HIGHT LIGHT,2szt.	0	0	szt.	11,7	14,39	Bottari	
 	towar	B33821	Żarówka H7 G. PRIX 12V 55W x1szt. 	0	0	szt.	5,61	6,9	Bottari	
 	towar	B33812	Żarówka H7 12V 55W SUPER WHITE x2szt. 	0	0	szt.	17,37	21,37	Bottari	
 	towar	B33811	Żarówka H412V 60/55W super white x2szt.	0	0	szt.	14,46	17,79	Bottari	
 	towar	B33817	Żarówka H4 G.PRIX 12V 60/55W P43T SUPER WHITE,2szt	0	0	szt.	13	15,99	Bottari	
 	towar	B33822	Żarówka H4 G. PRIX 12V 60/55W P43 T. SUPER WHITE 	0	0	szt.	6,86	8,44	Bottari, 1szt	
 	towar	B33820	Żarówka H4 G. PRIX 12V 60/55W P43 T,   x1szt. 	0	0	szt.	5,61	6,9	Bottari	
 	towar	B33815	Żarówka H4 G. PRIX 12V 60/55W P43 T HIGHT LIGHT,x2	0	0	szt.	11,7	14,39	Bottari, para-2szt. 	
 	towar	ŻAR/H1	ŻARÓWKA H1 CLEAR LIGHT	0	0	szt.	0	0	Auchan	
 	towar	ŻARÓWKA/1	ŻARÓWKA 12V H7 55W Px26 D	0	0	szt.	0	0		
 	towar	Ż230V	ŻARNIK ZESTAW 230V	0	0	szt.	0	0		
 	towar	232.500	Z-ZIMOWY PŁYN DO SPRYSKIWACZY XTREME NANOPRO 5L	0	0	szt.	19,99	24,59	wycofany, gotowy do użytku	3820 00 00
 	towar	ATA070916(P)	ZZIMOWY PŁYN DO SPRY. ICE FRESH 1L -60C KONCENTRAT	0	0	szt.	12,41	15,26	PROMOCJA	
 	towar	ZZ P	Z-Z  BIAŁA 2W PAPERNET	0	0	szt.	0	0	402292	
 	towar	Z-WORKI/35	Z-WORKI NA ŚMIECI Z TAŚMĄ 35 L	0	0	szt.	0	0	LIDL	
 	towar	Z-WORKI/20	Z-WORKI NA ŚMIECI HD 20lx50szt.	0	0	szt.	0	0		
 	towar	Z-WORKI/23	Z-WORKI NA ŚMIECI 60Lx25SZT.	0	0	szt.	0	0	mocne	
 	towar	Z-WOR/1	Z-WORKI NA ŚMIECI 60Lx25SZT.	0	0	szt.	0	0		
 	towar	Z-WORKI/12	Z-WORKI NA ŚMIECI 60/50szt. czarne	0	0	szt.	0	0		
 	towar	Z-WORKI/25	Z-WORKI NA ŚMIECI 60/50szt czerwone	0	0	szt.	0	0		
 	towar	Z-WORKI/60	Z-WORKI NA ŚMIECI 60/50szt czerwone	0	0	szt.	0	0		
 	towar	Z-WORKI/M	Z-WORKI NA ŚMIECI 60/20 szt niebieskie	0	0	szt.	0	0	LIDL ,60 L	
 	towar	Z-WORKI160/10	Z-WORKI NA ŚMIECI -160L X10SZT	0	0	szt.	0	0	BARWA	
 	towar	Z-WORKI/JAN	Z-WORKI 60LX20SZT	0	0	szt.	0	0	ETRA	
 	towar	Z-WOR/240	Z-WORKI 240L /10 SZT	0	0	szt.	0	0	DAFI	
 	towar	Z-WORKI240/20-NIE	Z-WORKI 240 L/ 20 SZT	0	0	szt.	0	0	Multichem	
 	towar	Z-WORKI160/25	Z-WORKI -160 L/25 SZT	0	0	szt.	0	0	DAFI	
 	towar	Z-739	Z-WORKI - 120L /10SZT.	0	0	szt.	3,14	3,86	ETRA	
 	usługa	WODA	ZUŻYCIE WODY I ODPROWADZENIE ŚCIEKOW WG UMOWY	0	0	szt.	0	0	Luty 2016 r.	
 	usługa	WODA /2	ZUŻYCIE WODY  WG UMOWY	0	0	szt.	0	0	Luty 2016 r.	
 	towar	55024	ZSZYWACZ METALOWY TYP 53	0	0	szt.	0	0		
 	towar	FIT/29/16	ZRASZACZ Pulsacyjny- metal	0	0	szt.	0	0	FITEX, do ogrodu	
 	towar	FIT/29	ZRASZACZ 3-ramienny- metal	0	0	szt.	0	0	FITEX, do ogrodu	
 	towar	B90802	Znaczki treningowe JUNIOR do gier treningowych	0	0	szt.	13,21	16,25	Bottari	
 	usługa	ZM/B	ZMYWARKA BOSCH	0	0	szt.	0	0	SMV50E10EU	
 	towar	DS10/1	ZMYWANIE WYKWITÓW WAPIENNYCH	0	0	szt.	18,02	22,16	wycofany,   Usuwanie nalotów zielonych	
 	towar	DS09/5	ZMYWANIE MCHÓW,POROSTÓW 5 L	0	0	szt.	180,03	221,44	  Usuwanie nalotów zielonych	
 	towar	ZMYWAK/10 SZT	ZMYWAK/10 SZT	0	0	szt.	0	0		
 	towar	72335	ZMYWAK Z WKŁADEM WASH 35CM	0	0	szt.	25,9	31,86		
 	towar	72325	ZMYWAK Z WKŁADEM WASH 25CM	0	0	szt.	20,7	25,46		
 	towar	ZMYWAK/1	ZMYWAK Z WKŁADEM 35 CM	0	0	szt.	0	0		
 	towar	ZMYWAK/MAXI	ZMYWAK MAXI A"5	0	0	szt.	0	0	Multichem	
 	towar	3030	ZMYWAK KUCHENNY A'5 SUPREME	0	0	szt.	0	0	Jack	
 	towar	TT8381	ZMYWAK DO OKIEN - REGULOW. 35 CM	0	0	szt.	20,3	24,97		
 	towar	ZMYWAK	ZMYWAK A'10	0	0	szt.	0	0		
 	towar	L150	ZMYWACZ UNIWERSALNY DO HAMULCÓW 500ML	0	0	szt.	0	0		
 	towar	6025001	ZMYWACZ PRZEMYSŁOWY -SPRAY 500 ML /CP/	0	0	szt.	0	0		3814 00 90
 	towar	L354	ZMYWACZ LAKIERU 400 ml	0	0	szt.	16,45	20,23	k2, usuwa stare powłóki lakiernicze 	
 	towar	6119 0940	ZMYWACZ HAM.I CZĘŚCI MONTAŻ. 30 L R589	0	0	szt.	0	0	FORCH	
 	towar	6119 0914	ZMYWACZ HAM. PREMIUM 600 ML. R510	0	0	szt.	0	0	Forch Polska	
 	towar	6118 0952	ZMYWACZ HAM. PREMIUM 30L. MR510	0	0	szt.	0	0	Forch Polska	
 	towar	ZH	ZMYWACZ DO HAMULCÓW 500ML	0	0	szt.	0	0	CHAMPION ; wielozadaniowy	
 	towar	836.400	ZMYWACZ DO HAMULCÓW 500 ML	0	0	szt.	9,98	12,28	wycofany, professional	
 	towar	6119 092P	ZMYWACZ DO HAMULCÓW 20 L,	0	0	szt.	0	0	FORCH,uniwersalny 3814-00-90	
 	towar	CL102	ZMYWACZ DO HAMULCÓW - 650 ML	0	0	szt.	0	0	ENYRUN	
 	towar	4217	ZMYWACZ DO HAMULCÓW - 600 ML	0	0	szt.	0	0	SJD, TARGET	
 	towar	6119 0946	ZMYWACZ DO HAM.I CZĘŚCI MONTAŻ. R5007 600 ML.	0	0	szt.	0	0	FORCH	
 	towar	W128	ZMYWACZ DO GAŹNIKÓW 	0	0	szt.	7,95	9,78	12k	
 	towar	T10	ZMYWACZ DO ETYKIET CYTRUSOWY 400ML.	0	0	szt.	0	0	SJD	3402 20 90
 	towar	34621	ZMYWACZ DO ELEMENTÓW ELEKTRYCZNYCH 500ML	0	0	szt.	0	0		
 	towar	CL601	ZMYWACZ CYTRUSOWY 500ML	0	0	szt.	0	0	ENYRUN ; do naklejek	
 	towar	2581	Zmiotka+szufelka kompakt	0	0	szt.	0	0		
 	towar	ZMIOTKA	ZMIOTKA PLASTIKOWA	0	0	szt.	0	0	CHEMDOM	
 	towar	A 08-132	ZMIOTKA NYLON  DREWNIANA	0	0	szt.	0	0	Crawtico	
 	towar	A 08-102	ZMIOTKA NYLON	0	0	szt.	0	0	Crawtico 	
 	towar	1829	Zmiotka gospodarcza	0	0	szt.	0	0		
 	towar	ZM06/430	ZMIOTKA DREWNIANA EKO 430	0	0	szt.	5,65	6,95	43 cm	
 	towar	ZM06/280	ZMIOTKA DREWNIANA EKO 280	0	0	szt.	3,33	4,1	28 cm	
 	towar	ZMIOTKA/D	ZMIOTKA DREWNIANA 	0	0	szt.	0	0	Jack, art. 0050	
 	towar	LEŃ/ PLASTIKOWY	ZMIOTKA +SZUFELKA LEŃ	0	0	szt.	0	0	,Leniuch	
 	towar	SZUFELKA/Z	ZMIOTKA +  Szufelka 	0	0	szt.	0	0	Chemdom	
 	towar	5560	ZMIOTKA - FLO	0	0	szt.	24,6	30,26	czarna	
 	towar	Z-KP/M	Z-MAUZER - BECZKA 1000L	0	0	szt.	0	0		
 	towar	ZWDN	Złączka węża DN 38mm	0	0	szt.	0	0		
 	towar	ZŁĄCZKA/1	ZŁĄCZKA SZYBKOZŁĄCZA	0	0	szt.	0	0	21SFIW10MXX 1/8"W	
 	towar	ZŁĄCZKA/2	ZŁĄCZKA SZYBKOZŁĄCZA	0	0	szt.	0	0	21SFAW10MXX 1/8"Z	
 	towar	ZR	ZŁĄCZKA RUROWA ROZPYLACZA	0	0	szt.	31	38,13	element nr 7	
 	towar	ZMW	Złączka międzywężowa	0	0	szt.	0	0		
 	towar	ZŁM22	Złączka M22	0	0	szt.	0	0		
 	towar	ZŁĄCZKA GZI/2	Złączka GZI/2 WĄŻ 8 MM	0	0	szt.	0	0	Leroy Merlin	
 	towar	ZE	Złączka elastyczna	0	0	szt.	0	0		
 	towar	9207	ZŁĄCZKA DWUSTRONNA 1/2"	0	0	szt.	0	0	z gw. zew	
 	towar	53/5	Złączka dwustr.1/4"Z GW. WEWN.	0	0	szt.	0	0		
 	towar	ZD	Złączka dalsza	0	0	szt.	0	0		
 	towar	5764	ZŁĄCZKA 1/4"W x 1/2"Z 	0	0	szt.	0	0		
 	towar	6075	ZŁĄCZKA  GŁOWICY	0	0	szt.	0	0	do HIPPO	
 	towar	Z/D	ZŁĄCZEDWUSTRONNE DO WĘŻA 10 M	0	0	szt.	0	0		
 	towar	ZW	Złącze wężowe	0	0	szt.	0	0		
 	towar	ZŁ1/4	Złącze wew. 1/4	0	0	szt.	0	0		
 	towar	Z/40	Złącze odk. 40	0	0	szt.	0	0		
 	towar	S408	Złącze obrotowe 1/4"	0	0	szt.	0	0		
 	towar	ZO	Złącze obrotowe	0	0	szt.	0	0		
 	towar	ZC	Złącze ciśnieniowe	0	0	szt.	0	0		
 	towar	ZŁĄCZKA	ZŁĄCZCZKA NAPRAWCZA DO LANCY PLASTIKOWEJ	0	0	szt.	15,8	19,43		
 	towar	ZŁ/3	ZŁACZKA 1/8	0	0	szt.	0	0		
 	towar	150111	ZŁACZKA  DO MIKROWŁĄCZNIKA AG	0	0	szt.	90,98	111,91	mosiądz	
 	usługa	Z-KP/P(1)	Z-koszt.transportu	0	0	szt.	0	0	Poczta Polska, refaktura kosztów transportu	
 	usługa	Z-KP/P	z-KOSZT TRANSPORTU	0	0	szt.	0	0	Poczta Polska,	
 	towar	232.509	ZIMOWY PŁYN DO SPRYSKIWACZY XTREME NANOPRO 2L	0	0	szt.	14,25	17,53	wycofany, koncentrat 	3820 00 00
 	towar	232.300	ZIMOWY PŁYN DO SPRYSKIWACZY XTREME NANOPRO 1L	0	0	szt.	11,58	14,24	 koncentrat 	3820 00 00
 	towar	232.405	ZIMOWY PŁYN DO SPRYSKIWACZY XTREME NANO PRO 4L	0	0	szt.	18,43	22,67	gotowy do użytku	3820 00 00
 	towar	232.405-P	ZIMOWY PŁYN DO SPRYSKIWACZY XTREME NANO PRO 4L	0	0	szt.	26,98	33,19	PROMOCJA 7+1 za 0,20 zł	3820 00 00
 	towar	PAR073376	ZIMOWY PŁYN DO SPRYSKIWACZY WINTERSPRINT 5L -20C 	0	0	szt.	17,44	21,45	JEŻYNA Z JAGODĄ	
 	towar	PAR073383	ZIMOWY PŁYN DO SPRYSKIWACZY WINTERSPRINT 5L -20C 	0	0	szt.	17,44	21,45	MALINA Z POZIOMKĄ	
 	towar	TASK	ZIMOWY PŁYN DO SPRYSKIWACZY TASK -20C 5L	0	0	szt.	0	0	TASK	
 	towar	GLICAR	ZIMOWY PŁYN DO SPRYSKIWACZY GLICAR -20C 5L	0	0	szt.	0	0	GLICAR, AUTO PLAY	
 	towar	ZP/5-K	ZIMOWY PŁYN DO SPRYSKIWACZY -80 C  5L- KONCENTRAT	0	0	szt.	0	0	PHENIX, KONCENTRAT etanol, pod przetarg	
 	towar	ZP/5- PLAK	ZIMOWY PŁYN DO SPRYSKIWACZY 5L -20C	0	0	szt.	15,48	19,04	Plak	
 	towar	Z/ K	ZIMOWY PŁYN DO SPRYSKIWACZY 500L - KONCENTRAT 	0	0	szt.	0	0	Pod TOMILA; dolewka do letniego(zimowy -30 C gotowy)	
 	towar	ZP/5	ZIMOWY PŁYN DO SPRYSKIWACZY 5 L	0	0	szt.	0	0	PHENIX, , etanol (-22*C)	3820 00 00
 	towar	ATA070138	ZIMOWY PŁYN DO SPRYSKIWACZY 4 L -KONCENTRAT	0	0	szt.	35,93	44,19	PLAK	
 	towar	ZP50000/5	ZIMOWY PŁYN DO SPRYSKIWACZY -30C 5L	0	0	szt.	0	0	KEMKO, gotowy do użytku,	
 	towar	ZP/1000/-30	ZIMOWY PŁYN DO SPRYSKIWACZY -30C - 1000L	0	0	szt.	0	0	FLUKAR :na alkoholu etylowym	
 	towar	ATA073352	ZIMOWY PŁYN DO SPRYSKIWACZY -22st ICE BREAKER 4L	0	0	szt.	19,3	23,74	ATAS	
 	towar	ATA073352(P)	ZIMOWY PŁYN DO SPRYSKIWACZY -22st ICE BREAKER 4L	0	0	szt.	19,3	23,74	PROMOCJA 	
 	towar	ZP500/5	Zimowy płyn do spryskiwaczy -22C 5l.	0	0	szt.	13,69	16,84	FLUKAR, NA ETANOLU, gotowy do użycia 	
 	towar	ZP5000/5 	Zimowy Płyn do spryskiwaczy -22C 5l.	0	0	szt.	13,69	16,84	LIBERIX, gotowy do użytku	
 	towar	ZPS/5 -NIE	ZIMOWY PŁYN DO SPRYSKIWACZY -22C 5L 	0	0	szt.	10,7	13,16	PHENIX, gotowy do użytku	
 	towar	ZP/1000/-22	ZIMOWY PŁYN DO SPRYSKIWACZY -22'C  	0	0	szt.	0	0	PHENIX, ETANOL, MAUZER	
 	towar	ZP/1000/-22/1	ZIMOWY PŁYN DO SPRYSKIWACZY -22*C 1000 L.  	0	0	szt.	0	0	PHENIX, ETANOL, MAUZER	
 	towar	ZPM/5	ZIMOWY PŁYN DO SPRYSKIWACZY -22 M 5L	0	0	szt.	0	0	PHENIX, METANOL	
 	towar	332.400-P	ZIMOWY PŁYN DO SPRYSKIWACZY -20'C 4L	0	0	szt.	0	0	promocja 7+1 za 0,20 zł	
 	towar	332.400	ZIMOWY PŁYN DO SPRYSKIWACZY -20'C 4L 	0	0	szt.	20,85	25,65	gotowy do użycia	3820 00 00
 	towar	ZP50/5	Zimowy Płyn do Spryskiwaczy - 35 stopni C - op. 5L	0	0	szt.	0	0	PHENIX, gotowy do użytku	
 	towar	332.441	ZIMOWY PŁYN DO SPRYSKIWACZY - 20 C 2L	0	0	szt.	8,49	10,44	gotowy do użycia;	
 	towar	332.805	ZIMOWY PŁYN DO SPRYSKIWACZA 60L	0	0	szt.	461,5	567,65	wycofany	
 	towar	332.505	ZIMOWY PŁYN DO SPRYSKIWACZA 5L	0	0	szt.	44,52	54,76	wycofany	
 	towar	332.500	ZIMOWY PŁYN DO SPRYSKIWACZA 5L	0	0	szt.	31,98	39,34	wycofany	
 	towar	332.241	ZIMOWY PŁYN DO SPRYSKIWACZA 500 ML	0	0	szt.	5,92	7,28	wycofany	
 	towar	332.509	ZIMOWY PŁYN DO SPRYSKIWACZA 2L	0	0	szt.	19,86	24,43	wycofany	
 	towar	332.541	ZIMOWY PŁYN DO SPRYSKIWACZA 2L	0	0	szt.	15,25	18,76	wycofany	
 	towar	332.100	ZIMOWY PŁYN DO SPRYSKIWACZA 250 ML	0	0	szt.	3,41	4,19	wycofany	
 	towar	332.300	ZIMOWY PŁYN DO SPRYSKIWACZA 1L	0	0	szt.	10,38	12,77	wycofany	
 	towar	ORGANIKA	ZIMOWY PŁYN DO SPRYSK. ORGANIKA -21C 4L	0	0	szt.	0	0	pomarańcza i cynamon	
 	towar	ADIXOL	ZIMOWY PŁYN DO SPRYSK. ADIXOL -21C 4L	0	0	szt.	0	0	Powiew luksusu	
 	towar	ATA070916	ZIMOWY PŁYN DO SPRY. ICE-FRESH 1L -60C KONCENTRAT	0	0	szt.	9,57	11,77	PLAK	
 	towar	MYJKA	ZIMNOWODNE URZĄDZENIE CIŚNIENIOWE	0	0	szt.	0	0	Elektro - Serwis, Myjka  TX 300  14.180	
 	towar	ZGARNICZ	ZGARNIACZ DO ŚNIEGU 66 CM	0	0	szt.	0	0		
 	towar	ZESTAW /ŁAD	Zestaw: szybka ładowarka + bateria 36 V/2,5 Ah	0	0	szt.	0	0	EFEKT	
 	towar	ZESTAW/1	Zestaw: kij, mop płaski, stelaż TTS 50cm	0	0	szt.	0	0		
 	towar	ZESTAW/2	Zestaw: kij tel.3cz, bar.do ok.35 cm,zb do okien35	0	0	szt.	0	0		
 	towar	B30571	Zestaw żarówek H7 12V 55W z bezpiecznikami	0	0	szt.	9,5	11,69	Bottari	
 	towar	B30570	Zestaw żarówek H4 12V 60/55W z bezpiecznikami	0	0	szt.	9,5	11,69	Bottari	
 	towar	ZZ	Zestaw zaworów	0	0	szt.	0	0		
 	towar	6.605.0065	ZESTAW ZAWORKI SSĄCTŁOCZĄCE 21 L	0	0	szt.	119	146,37	Lavor, ZESTAW 6SZT- MAMY ROZBITE NA SZT	
 	towar	B28046	Zestaw z żarówką halogenową H7 55W,	0	0	szt.	9,99	12,29	Bottari, 5 żarówek, 2 bezpieczniki	
 	towar	B28045	Zestaw z żarówką halogenową H4 60/55W	0	0	szt.	9,99	12,29	Bottari. 5żarówek, 2 bez. 	
 	towar	WKRĘTAKI	ZESTAW WKRĘTAKÓW	0	0	szt.	0	0		
 	towar	ZESTAW/W	ZESTAW WKRĘTAKÓW	0	0	szt.	0	0		
 	towar	BK24200	Zestaw wiosenny GRAND PRIX CLEAN CAR	0	0	szt.	10,16	12,5	Bottari, 5901698242008	
 	towar	ZST	ZESTAW WIERTEŁ 6SZT.	0	0	szt.	0	0		
 	towar	ZUW	Zestaw uszczelnień wodnych	0	0	szt.	0	0		
 	towar	6365-380	ZESTAW USZCZELNIAJĄCY	0	0	szt.	0	0		
 	towar	ZU/PRO	Zestaw uszczelek Orion Pro+	0	0	szt.	13,49	16,59	blister	
 	towar	296	Zestaw uszczelek do lancy	0	0	szt.	0	0		
 	towar	43060	ZESTAW USZCZELEK DO KR 105	0	0	szt.	133,53	164,24	  	
 	towar	ZO8U	Zestaw uszczelek (ogólny)	0	0	kpl.	0	0		
 	towar	2880-296	Zestaw uszczelek	0	0	szt.	13,43	16,52		
 	towar	K710	ZESTAW ŚCIERECZEK Z MIKROFIBRY 30x35cm (4szt/op)	0	0	szt.	7,31	8,99		
 	towar	ZESTAW SZ/SZP	ZESTAW szczotka + szufelka z pokrywą	0	0	szt.	0	0	ANEKS KOD11393 (typu LEŃ)	
 	towar	ZS201	ZESTAW SPRZĄTAJĄCY DWUWIADERKOWY	0	0	szt.	438,16	538,94	2X17L	
 	towar	WAT.1626	Zestaw serwisowy VENUS SUPER SOLVENT LINE blister	0	0	szt.	24,15	29,7	FPM blister	
 	towar	ZESTAW	ZESTAW SERWISOWY VENUS SUPER PRO+	0	0	szt.	23,25	28,6	WAT.0828, blister	
 	towar	WAT.0829	Zestaw serwisowy VENUS SUPER ALKA LINE blister	0	0	szt.	24,15	29,7		
 	towar	WAT.1179	Zestaw serwisowy VENUS SUPER ACID blister	0	0	szt.	24,15	29,7		
 	towar	WAT.0822	Zestaw serwisowy ORION SUPER PRO+	0	0	szt.	25,85	31,8	aktualny kod: WAT.1623	
 	towar	WAT.1623	Zestaw serwisowy ORION SUPER HD ACID LINE blister	0	0	szt.	25,85	31,8		
 	towar	WAT.0823	Zestaw serwisowy ORION SUPER ALKA LINE blister	0	0	szt.	26,7	32,84		
 	towar	RĘCZNIKI	ZESTAW RĘCZNIKÓW	0	0	szt.	0	0		
 	towar	ZEST/PRZYŁĄCZY/PIANO	ZESTAW PRZYŁĄCZA LANCY PIANOWNICY	0	0	szt.	0	0	Komplet złączek do pianowncy żółtej lancy aby podłączyć sie do Karchera. Adaptor GZ BSP1/4/GZBSP 3/8, Uszczelka Dowty3/8, Uszczelka Dowty1/4,  Adaptor GZ M22X1,5/GZ 3/8, ZAKUP TUBES	
 	towar	226.941	ZESTAW PREMIUM CLASS NANO	0	0	szt.	222,42	273,58	wycofany, do ochrony lakieru,	
 	towar	200.941	ZESTAW PREMIUM CLASS DO POLEROWANIA LAKIERU	0	0	szt.	173,5	213,41	SZAFIROWY	
 	towar	556.052	ZESTAW PĘDZLI DO CZYSZCZENIA- op.7 szt.	0	0	szt.	19,58	24,08		
 	towar	OP4(1)	ZESTAW OPASEK ZACISKOWYCH METAL.	0	0	szt.	0	0	W OP. 6 RÓŻNYCH WIELKOŚCI OPASEK	
 	towar	6.005.0289	ZESTAW NAPRAWCZY ZAWORU BY-PASS (TOTAL STOP) 	0	0	szt.	0	0	Lavor	
 	towar	6.605.0289	ZESTAW NAPRAWCZY ZAWORU BY-PASS  (TOTAL STOP)	0	0	szt.	0	0	Lavor, 	
 	towar	150093	ZESTAW NAPRAWCZY WYŁ. CIŚ. MIN	0	0	szt.	104,11	128,06		
 	towar	400651	ZESTAW NAPRAWCZY USZCZELEK DO K3170 MAX	0	0	szt.	0	0	QUADRO 800-1200 f20	
 	towar	ZNU	Zestaw naprawczy uszczelek	0	0	szt.	0	0		
 	towar	12299	ZESTAW NAPRAWCZY STARLET II	0	0	szt.	45,72	56,24		
 	towar	Z08JV-H	ZESTAW NAPRAWCZY- INDUSTRY	0	0	szt.	23	28,29	MAROLEX	
 	towar	Z09J/7-H	ZESTAW NAPRAWCZY DYSZ - 7 szt	0	0	kpl.	20	24,6	MAROLEX	
 	towar	Z09J/5-H	ZESTAW NAPRAWCZY DYSZ - 5 szt	0	0	szt.	15	18,45	MAROLEX	
 	towar	553.141	ZESTAW NAPRAWCZY DO TŁUMIKOW	0	0	szt.	21,98	27,04		
 	towar	ZN/2	Zestaw naprawczy do lancy plastikowej	0	0	szt.	20,7	25,46		
 	towar	ZN/1	Zestaw naprawczy do lancy	0	0	szt.	0	0		
