sku;stock;price_purchase_net;price_sale_net;price_sale_gross
HYD001214;0.0;14.9;29.26;35.99
HYD001215;1.0;15.0;30.07;36.99
HYD001216;1.0;7.5;16.25;19.99
HYD001217;1.0;6.7;13.81;16.99
HYD001218;2.0;230.37;356.67;438.7
HYD001219;0.0;397.25;794.5;977.24
HYD001220;17.0;1.62;4.05;4.98
HYD001221;20.0;2.05;0.0;0.0
HYD001222;10.0;3.41;8.93;10.99
HYD001223;0.0;215.94;392.62;482.92
HYD001224;0.0;2542.59;4237.65;5212.31
HYD001225;2.0;40.0;80.0;98.4
HYD001226;1.0;4.75;9.5;11.69
HYD001227;6.0;2.34;3.9;4.8
HYD001228;2.0;14.45;16.25;19.99
HYD001229;0.0;145.0;290.0;356.7
HYD001230;2.0;46.47;93.49;114.99
HYD001231;0.0;412.3;749.64;922.06
HYD001232;5.0;1.8;3.6;4.43
HYD001233;4.0;59.45;203.24;249.99
HYD001234;2.0;7.0;14.0;17.22
HYD001235;0.0;211.55;423.1;520.41
HYD001236;0.0;61.38;122.76;150.99
HYD001237;0.0;2000.64;3637.53;4474.16
HYD001238;2.0;162.27;0.0;0.0
HYD001239;1.0;69.17;125.76;154.68
HYD001240;1.0;237.47;0.0;0.0
HYD001241;1.0;35.0;70.0;86.1
HYD001242;2.0;1.44;2.88;3.54
HYD001243;2.0;29.0;58.0;71.34
HYD001244;0.0;28.11;51.11;62.87
HYD001245;1.0;240.79;401.32;493.62
HYD001246;1.0;71.32;118.87;146.21
HYD001247;1.0;88.57;147.62;181.57
HYD001248;1.0;45.46;82.65;101.66
HYD001249;0.0;84.23;153.15;188.37
HYD001250;1.0;66.15;220.5;271.22
HYD001251;0.0;223.01;446.02;548.6
HYD001252;0.0;324.69;649.38;798.74
HYD001253;1.0;23.5;42.73;52.56
HYD001254;0.0;25.0;50.0;61.5
HYD001255;1.0;53.94;107.88;132.69
HYD001256;0.0;94.0;188.0;231.24
INNE0010;0.0;117.5;195.11;239.99
INNE0011;0.0;239.0;339.02;416.99
INNE0018;0.0;5.79;9.75;11.99
INNE0021;10.0;2.33;4.06;4.99
INNE0031;4.0;12.0;156.09;191.99
INNE0035;42.0;28.73;69.1;84.99
INNE0039;1.0;40.4;61.78;75.99
INNE0040;10.0;6.92;10.56;12.99
INNE0041;0.0;12.35;24.38;29.99
INNE0042;0.0;15.5;28.45;34.99
INNE0045;0.0;15.5;28.18;34.66
INNE0046;0.0;2.17;4.06;4.99
INNE0047;0.0;2.35;4.06;4.99
INNE0048;0.0;17.31;28.85;35.49
INNE0049;0.0;31.72;52.84;64.99
INNE0050;103.0;20.0;40.64;49.99
INNE0051;0.0;127.3;223.57;274.99
INNE0054;0.0;162.5;254.77;313.37
INNE0055;0.0;14.8;21.13;25.99
INNE0057;2.0;21.16;38.47;47.32
INNE0058;0.0;1800.0;2769.23;3406.15
INNE0059;0.0;6.2;11.37;13.99
INNE0060;0.0;243.94;443.53;545.54
INNE0061;0.0;5193.5;8800.0;10824.0
INNE0062;1.0;80.0;145.52;178.99
INNE0063;0.0;240.0;398.37;489.99
INNE0064;0.0;152.0;155.56;191.34
INNE0065;0.0;2119.0;5257.72;6466.99
INNE0066;0.0;8.98;14.97;18.41
INNE0068;3.0;32.25;58.64;72.13
INNE0069;0.0;314.14;644.36;792.56
INNE0071;0.0;156.65;215.44;264.99
INNE0072;1.0;46.95;109.75;134.99
INNE0073;0.0;360.0;666.67;820.0
INNE0075;0.0;0.89;1.62;1.99
INNE0076;0.0;1.85;3.36;4.13
INNE0077;1.0;10.45;88.43;108.77
INNE0078;2.0;20.0;81.03;99.67
INNE0079;1.0;91.71;203.8;250.67
INNE0080;0.0;178.25;297.08;365.41
INNE0081;0.0;87.4;250.0;307.5
INNE0083;10.0;2.2;5.52;6.79
INNE0084;0.0;141.17;66.67;82.0
INNE0085;0.0;70.0;116.67;143.5
